facility,level,hub,district,region,dhis2_uid,dhis2_name,DHIS2_UID,HIBRID_UID
Buhunga H/C IV,H/C IV,Nyakibale Hub   ,Rukungiri,South Western,LLCOrTAVtpK,Buhunga HC IV,LLCOrTAVtpK,WBhwaPBhWVu
Buikwe Hospital (St Charlse Lwanga),Hospital,Kawolo Hub   ,Buikwe ,Central 2,aClaerhXk59,Buikwe St. Charles Lwanga HOSPITAL,aClaerhXk59,MPOHv1dBkni
Bujubuli H/C III,H/C III,Kyegegwa Hub   ,Kyegegwa,Mid Western,\N,Bujubuli HC III,frm9FSY7Syf,UnltdClaoHl
Bukangama H/C III,H/C III,Bundibugyo Hub   ,Bundibugyo,Mid Western,\N,Bukangama HC III,aKxaxZSbzx9,FimDNnjNX6O
Bukedea H/C IV,H/C IV,Atutur Hub  ,Bukedea,North East,\N,Bukedea HC IV,tpIyT18ybqD,k9j6Q4APlZU
Buremba H/C III (Kiruhura),H/C III,Rushere Hub   ,Kazo,South Western,\N,Buremba HC III (Kiruhura),rRPBsggvt0q,BbDlJeHGuVX
Bukinda H/C III,H/C III,Kabale Hub   ,Rukiga,South Western,afqb57VEJp3,Bukinda HC III,afqb57VEJp3,Zp75wGCsjLN
Bukomero H/C IV,H/C IV,Kiboga Hub   ,Kiboga,Central 2,aVPeLDNBucL,Bukomero HC IV,aVPeLDNBucL,PrGnNvNYowM
Bukoto H/C III,H/C III,Masaka Hub   ,Masaka,Central 1,\N,Bukoto HC III,GlyS73YI733,PVsF7NsAEwa
Bukulula H/C IV,H/C IV,Butenga Hub   ,Kalungu,Central 1,DFuALUpGId9,Bukulula HC IV,DFuALUpGId9,FUnPSrK6WOV
Bukuya H/C III,H/C III,kassanda Hub   ,Mubende,Central 2,CiNybZErM6Q,Bukuya HC III,CiNybZErM6Q,JBOrZkN54lQ
Bulange H/C III,H/C III,Bugiri Hub   ,Namutumba ,East Central,E0iTAuyvRrd,Bulange HC III,E0iTAuyvRrd,EWhNOMGA3qd
Buliisa H/C IV,H/C IV,Buliisa Hub   ,Buliisa,Mid Western,TEGhWFDGruu,Buliisa HC IV,TEGhWFDGruu,YkQKiEQtz2B
Bumanya H/C IV,H/C IV,Bumanya Hub   ,Kaliro,East Central,dZSLpFo3Ow2,Bumanya HC IV,dZSLpFo3Ow2,TSCWsMYnMc5
Bundibugyo Hospital  ,Hospital,Bundibugyo Hub   ,Bundibugyo,Mid Western,\N,Bundibugyo Hospital,VkNdAzkYGjh,A1DXxtDTx82
Bungokho Mutoto H/C III,H/C III,Mbale Hub   ,Mbale,Mid Eastern,qqNrWKGgl1e,Bungokho Mutoto HC III,qqNrWKGgl1e,oeV2qDYkd3m
Bunoga H/C III,H/C III,Rukunyu Hub    ,Kamwenge,Mid Western,\N,Bunoga HC III,oa2Jc3fTgtD,i6uzIFoZmld
Bunyiiro H/C III,H/C III,Iganga Hub    ,Iganga,East Central,BxF2c8dwf02,Bunyiiro Gvt HC III,BxF2c8dwf02,BJb2HkEOOqr
Buraru H/C III,H/C III,Hoima Hub   ,Hoima,Mid Western,TJESax78KE7,Buraru HC III,TJESax78KE7,ERXNL0CWvRK
Busaba H/C III,H/C III,Busolwe Hub   ,Butaleja,Mid Eastern,\N,Busaba HC III,Kz4R1fHjE7p,r3w5MO0DEpq
Busano H/C III,H/C III,Mbale Hub   ,Mbale,Mid Eastern,S3tP2Tw15nr,Busano HC III,S3tP2Tw15nr,c6gnFqJiQ8I
Busanza H/C IV ,H/C IV,Kisoro Hub   ,Kisoro,South Western,\N,Busanza HC IV,pCvTmt48vr0,CkTrAwKDWbs
Busesa H/C IV,H/C IV,Iganga Hub    ,Iganga,East Central,FLMye24JUsV,Busesa HC IV,FLMye24JUsV,V4ZFd02Zwre
Buseta H/C III,H/C III,Pallisa Hub   ,Kibuku,Mid Eastern,\N,Buseta HC III,oCg2PMCReX1,l9UGGeYmtPW
Bushenyi H/C IV,H/C IV,Bushenyi Hub   ,Bushenyi,South Western,jmcxCPyDHHS,Bushenyi HC IV,jmcxCPyDHHS,yEiOHcuQj9c
Bushenyi Medical Centre H/C III,H/C III,Bushenyi Hub   ,Bushenyi,South Western,aJNgqIuVpYF,Bushenyi Medical Center HC III,aJNgqIuVpYF,K9GRE2IcIxo
Bushikori H/C III,H/C III,Mbale Hub   ,Mbale,Mid Eastern,b5gYOcDzgXn,Bushikori HC III,b5gYOcDzgXn,jgiKm5GTHpV
Bushiyi H/C III,H/C III,Bududa Hub    ,Bududa,Mid Eastern,\N,Bushiyi HC III,iu8AuF8DVXT,YgjIyF1MJ2o
Busia H/C IV,H/C IV,Masafu Hub   ,Busia,Mid Eastern,Yr843NBuL9D,Busia HC IV,Yr843NBuL9D,BkoMj2Rbk6O
Busolwe Hospital,Hospital,Busolwe Hub   ,Butaleja,Mid Eastern,\N,Busolwe Hospital,jBZmte6aqoD,m2JKyS86wzV
Busiu H/C IV,H/C IV,Mbale Hub   ,Mbale,Mid Eastern,zeEOtz7XwxV,Busiu HC IV,zeEOtz7XwxV,S6Mx24YLrUj
Butabika  Hospital,Hospital,Kampala Hub,Kampala,Kampala,KssVUerFkyV,Butabika NATIONAL REFERAL HOSPITAL,KssVUerFkyV,SfDFfiyhrrl
Butebo H/C IV,H/C IV,Pallisa Hub   ,Butebo,Mid Eastern,\N,Butebo HC IV,xRyghoPrl27,GTPtShp5B6J
Butema H/C III,H/C III,Hoima Hub   ,Hoima,Mid Western,VyKflstsoTt,Butema HC III,VyKflstsoTt,VNJpy9CLByM
Butenga H/C IV,H/C IV,Butenga Hub   ,Bukomansimbi,Central 1,gBVBGJ2p9b3,Butenga HC IV,gBVBGJ2p9b3,aJGEGwQvvDa
Butiiti H/C III,H/C III,Kyenjojo Hub   ,Kyenjojo,Mid Western,\N,Butiiti HC III,XRMXI2fhgoK,PZfrRNum9kD
Butiru H/C III,H/C III,Tororo Hub   ,Manafwa,Mid Eastern,Wsm1yq3s0Lw,Butiru HC III,Wsm1yq3s0Lw,AH41eZY4ZdB
Butunduzi H/C III,H/C III,Kyenjojo Hub   ,Kyenjojo,Mid Western,\N,Butunduzi HC III,sLg8XDLt89n,NljTAZbJLdx
Buvuma H/C IV,H/C IV,Buvuma Hub,Buvuma,Central 2,ewMHVf7tjwq,Buvuma HC IV,ewMHVf7tjwq,lKyigFXa1z6
Buwaiswa H/C III,H/C III,Kigandalo hub   ,Mayuge,East Central,uja4Tx4IR8w,Buwaiswa HC III,uja4Tx4IR8w,Kq521ZdgqnH
Buwambo H/C IV,H/C IV,Wakiso Hub  ,Wakiso,Central 1,aq5a4s4nH5n,Buwambo HC IV,aq5a4s4nH5n,NkznuBjgivL
Buwasa H/C IV,H/C IV,Budadiri Hub     ,Sironko,Mid Eastern,\N,Buwasa HC IV,yyYPcgZm4xP,wX1Ycz98qqA
Buwenge H/C IV,H/C IV,Jinja Hub   ,Jinja,East Central,hYRpOD0ijAo,Buwenge HC IV,hYRpOD0ijAo,Ewem6KeGBgK
Buyinja H/C IV,H/C IV,Buyinja Hub   ,Namayingo,East Central,NnSbfZjOXJd,Buyinja HC IV,NnSbfZjOXJd,HyHTB1KaGtZ
Buyoga H/C III,H/C III,Ssembabule Hub   ,Bukomansimbi,Central 1,RlulmyGd2XY,Buyoga HC III,RlulmyGd2XY,HN9EVN8NXx9
Bwera Hospital ,Hospital,Kagando Hub   ,Kasese,Mid Western,\N,Bwera Hospital,HLeMhK9q6Wm,P3Hx3fVCj9m
Bwijanga H/C IV,H/C IV,Masindi Hub   ,Masindi ,Mid Western,ap3Cu39yPkF,Bwijanga HC IV,ap3Cu39yPkF,beqhZjl2ea9
Bwindi Community Hospital,Hospital,Kanungu Hub   ,Kanungu,South Western,VES7ks4zElA,Bwindi Community Hospital,VES7ks4zElA,aYywruPTeuM
Bwizi H/C III,H/C III,Rukunyu Hub    ,Kamwenge,Mid Western,\N,Bwizi HC III,a3HP4aNtOMO,iokLP2xg5YZ
Bwizibwera H/C IV ,H/C IV,Mbarara Hub   ,Mbarara,South Western,\N,Bwizibwera HC IV,SMkx58aUYtC,VG9SDAdCo8K
Bwongyera H/C III,H/C III,Itojo Hub   ,Ntungamo,South Western,\N,Bwongyera HC III,mypOsu7U27g,a7DxZjHobyP
Chahafi H/C IV,H/C IV,Kisoro Hub   ,Kisoro,South Western,aK1GSPJrhjK,Chahafi HC IV,aK1GSPJrhjK,sXFNy2kqMYU
Ciforo H/C III,H/C III,Adjumani Hub   ,Adjumani,West Nile,\N,Ciforo HC III,Y0XE9vH5Oeg,spqXr6H3DH4
Comboni Hospital,Hospital,Bushenyi Hub   ,Bushenyi,South Western,\N,Comboni Hospital,OEhMLFc4vaU,d6ZaivHkESN
Cwero H/C III,H/C III,Gulu Hub   ,Gulu,Mid Northern,apGje3lIGEP,Cwero HC III,apGje3lIGEP,hpGVayysw2R
Dakabela H/C III,H/C III,Soroti Hub   ,Soroti,North East,\N,Dakabela HC III,CqefEf18FFW,bFXGhNTL45s
Dokolo H/C IV,H/C IV,Dokolo Hub  ,Dokolo,Mid Northern,KBNJtdMGHlZ,Dokolo HC IV,KBNJtdMGHlZ,StTGxcIAw4Q
Endiinzi H/C III,H/C III,Rwekubo Hub   ,Isingiro,South Western,HUkwcrf8Ozd,Endiizi HC III,HUkwcrf8Ozd,Kn4fCFAZTpC
Etam H/C III,H/C III,Amolatar Hub   ,Amolatar,Mid Northern,r4txax3dzBl,Etam HC III,r4txax3dzBl,P47YTQE3daH
Family Hope Centre Jinja,Special Clinic,Jinja Hub   ,Jinja,East Central,aNxk6ghyV8u,Family Hope Center Jinja,aNxk6ghyV8u,GrqtkIOm4nr
Family Hope Centre Kampala,Special Clinic,Kampala Hub,Kampala,Kampala,X0giNVjxX76,Family Hope Center Kampala,X0giNVjxX76,GaDUwThqX9N
FortPortal R R Hospital,Regional Referral Hospital,FortPortal Hub  ,Kabarole,Mid Western,Dt6WipQhr4Q,Fort Portal Regional Referral Hospital,Dt6WipQhr4Q,gfeGkjHuhZB
Galiraaya H/C III,H/C III,Kayunga Hub  ,Kayunga,Central 2,yZIc8DX7kUx,Galiraya HC III,yZIc8DX7kUx,wURn4uyTn2W
Gogonyo H/C III,H/C III,Pallisa Hub   ,Pallisa,Mid Eastern,\N,Gogonyo HC III,ci6s0lgQqFZ,wdvNHwL2Pmq
Gombe Hospital ,Hospital,Gombe Hub   ,Butambala,Central 1,\N,Gombe Hospital,xuCJ8NBomxP,QR3ajyi53dQ
Gulu Independent Hospital,Hospital,Gulu Hub   ,Gulu,Mid Northern,RsY5tCgiuHp,Gulu Independent Hospital,#N/A,HEYLF7EmEzg
Gulu Military Hospital (4th Division),Hospital,Gulu Hub   ,Gulu,Mid Northern,x1UaYpPwx6c,Gulu Military Hospital,x1UaYpPwx6c,x83GPCvrGlE
Gulu Prison H/C III,H/C III,Gulu Hub   ,Gulu,Mid Northern,i7JbInoEb2D,Gulu Prison HC III,i7JbInoEb2D,AkzPyPywny2
Gulu R R Hospital,Regional Referral Hospital,Gulu Hub   ,Gulu,Mid Northern,QDc7Wijvfca,Gulu Regional Referal Hospital,QDc7Wijvfca,NtvhVEQYe7y
Gweri H/C III,H/C III,Soroti Hub   ,Soroti,North East,\N,Gweri HC III,WY3yVWM5gaL,cq6ptZOgMo4
Hamurwa H/C IV,H/C IV,Kabale Hub   ,Rubanda,South Western,GzCsU3tbMbg,Hamurwa HC IV,GzCsU3tbMbg,sMYR4yytYIl
Hoima R R Hospital,Regional Referral Hospital,Hoima Hub   ,Hoima,Mid Western,V2ylFCAVj0U,Hoima REGIONAL REF Hospital,V2ylFCAVj0U,KrAZL3hIUVg
Ibanda Hospital,Hospital,Ruhoko Hub   ,Ibanda,South Western,ahn03jwJwRI,Ibanda Hospital,ahn03jwJwRI,QHNJMPuBccT
Ibuje H/C III,H/C III,Apac Hub    ,Apac,Mid Northern,M8mSJi1Qcah,Ibuje HC III,M8mSJi1Qcah,vs2AK3gMAbO
Iceme H/C III,H/C III,Aber Hub    ,Oyam,Mid Northern,OYENvTcFrXW,Iceme Ngo HC III,OYENvTcFrXW,GiE156kSM8N
Iganga Hospital,Hospital,Iganga Hub    ,Iganga,East Central,EKPCmrHaBSg,Iganga Hospital,EKPCmrHaBSg,M8fHv1Ql3LO
Ihandiro H/C III,H/C III,Kagando Hub   ,Kasese,Mid Western,\N,Ihandiro HC III,q4C8iOvwk7A,qlmGAsXCI4R
Iki  Iki H/C III,H/C III,Mbale Hub   ,Budaka,Mid Eastern,cqonmIvPuVM,Iki-Iki HC III,cqonmIvPuVM,Aatzg51TY1p
Inomo H/C III,H/C III,Apac Hub    ,Kwania,Mid Northern,mKvTS1QMd3x,Inomo HC III,mKvTS1QMd3x,g0GzkCVc4gS
Ishaka Adventist Hospital,Hospital,Bushenyi Hub   ,Bushenyi,South Western,\N,Ishaka Adventist Hospital,H61tgLIphOZ,c9gYjxIZ89I
Ishongororo H/C IV,H/C IV,Ruhoko Hub   ,Ibanda,South Western,LwODrFWsUAR,Ishongororo HC IV,LwODrFWsUAR,Rbblr8xWWLh
Itojo Hospital,Hospital,Itojo Hub   ,Ntungamo,South Western,a7lnM83DJGy,Itojo Hospital,a7lnM83DJGy,uW5kvTWs67u
Ivukula H/C III,H/C III,Bumanya Hub   ,Namutumba ,East Central,PrOL9DbHU3G,Ivukula HC III,PrOL9DbHU3G,Yx80Vr0faot
Kaabong Hospital,Hospital,Kaabong Hub   ,Kaabong ,North East,pATBoZZRddT,Kaabong Hospital,pATBoZZRddT,xOJF7PMHOYr
Kabale R R Hospital,Regional Referral Hospital,Kabale Hub   ,Kabale,South Western,K2BGHpaUluP,Kabale Regional Ref Hospital,K2BGHpaUluP,mADK9eh8pgq
Kabarole Hospital C.O.U,Hospital,FortPortal Hub  ,Kabarole,Mid Western,gLhqifDs7hU,Kabarole Hospital,gLhqifDs7hU,wmx0xfoOBsm
Kabira H/C III (Rakai),H/C III,Rakai Hub   ,Kyotera,Central 1,KC28vpic105,Kabira HC III GOVT,KC28vpic105,egApyA0Pb8K
Kabuga H/C III ,H/C III,Rukunyu Hub    ,Kamwenge,Mid Western,\N,Kabuga HC III,JiXMZzyWhUb,cFqFNvsPsZR
Kabuwoko H/C III,H/C III,Rakai Hub   ,Rakai,Central 1,GREWqcdtoVn,Kabuwoko Gvt HC III,GREWqcdtoVn,WxYq83wDigm
Kabuyanda H/C IV,H/C IV,Rwekubo Hub   ,Isingiro,South Western,K5Rwfv0pC4s,Kabuyanda HC IV,K5Rwfv0pC4s,oZWAIE4av5U
Kabwohe Clinical Research Centre,Special Clinic,kitagata Hub   ,Sheema,South Western,H3LpQ7tdT1P,Kabwohe Clinical Research Cenrer HC II,H3LpQ7tdT1P,UNFCEmXN0Mp
Kabwohe H/C IV,H/C IV,kitagata Hub   ,Sheema,South Western,yTiZaVCinTc,Kabwohe HC IV,yTiZaVCinTc,Rix6RN9tjnz
Kabwoya H/C III,H/C III,Hoima Hub   ,Kikuube,Mid Western,zdhmUkPsGjH,Kabwoya HC III,zdhmUkPsGjH,MnTRuW8F96m
Kachonga H/C III,H/C III,Busolwe Hub   ,Butaleja,Mid Eastern,\N,Kachonga HC III,aPNq1GUh1et,frHbkcFIPqz
Kachumbala H/C III,H/C III,Atutur Hub  ,Bukedea,North East,\N,Kachumbala HC III,BzFE9hikp6J,s8yAtj2jhWc
Kaderuna H/C III,H/C III,Mbale Hub   ,Budaka,Mid Eastern,BUS1uU9bfh8,Kaderuna HC III,BUS1uU9bfh8,hKi5Daz7PwR
Kagadi  Hospital,Hospital,Kagadi Hub   ,Kagadi,Mid Western,\N,Kagadi Hospital,JLUfWD5Q5jB,cM3DfG1MncW
Kagando Hospital,Hospital,Kagando Hub   ,Kasese,Mid Western,KhvLQSeeHZM,Kagando Hospital,KhvLQSeeHZM,rtydEtW3EoX
Kagote H/C III,H/C III,FortPortal Hub  ,Kabarole,Mid Western,\N,Kagote HC III,JOGgj0LGTiW,WcEiwhhQdiK
Kajjansi H/C III,H/C III,Entebbe Hub   ,Wakiso,Central 1,\N,Kajjansi HC III,DPRgzXMkh9U,W2nmAaTrTtZ
Kakabara H/C III,H/C III,Kyegegwa Hub   ,Kyegegwa,Mid Western,\N,Kakabara HC III,SbeNQXeGDyJ,opdh2MgWC5U
Kakindo H/C IV,H/C IV,Kakindo Hub   ,Kakumiro,Mid Western,\N,Kakindo HC IV,KHdENRAXOQJ,h8RJ5KZ31KL
Kakuka H/C III,H/C III,Bundibugyo Hub   ,Bundibugyo,Mid Western,kvNr0D5clU1,Kakuka HC III,kvNr0D5clU1,xzLa39JUgJ9
Kakumiro H/C IV ,H/C IV,Kakindo Hub   ,Kakumiro,Mid Western,\N,Kakumiro HC IV,aLPsQWPEMFT,SNR62ZBuvx1
Kakuuto H/C IV,H/C IV,Rakai Hub   ,Kyotera,Central 1,Ls1dG8v84Wu,Kakuuto HC IV,Ls1dG8v84Wu,VLu7veYJK8m
Kaladima H/C III,H/C III,Atiak Hub   ,Amuru,Mid Northern,jWmjHpZqNtY,Kaladima HC III,jWmjHpZqNtY,VuQQrO4208r
Kalagala H/C IV,H/C IV,Luweero Hub    ,Luweero,Central 2,\N,Kalagala HC IV,aZw4VQefUc4,IiGhEFpbS3k
Kalangala H/C IV,H/C IV,Kalangala Hub    ,Kalangala,Central 1,oTXa14pgh8f,Kalangala HC IV,oTXa14pgh8f,ZB5oDpIVqkO
Kalisizo Hospital ,Hospital,Rakai Hub   ,Kyotera,Central 1,\N,Kalisizo Hospital,eZPhMsZGZza,pN702WgtmEm
Kalungu H/C III,H/C III,Butenga Hub   ,Kalungu,Central 1,wKczE4oVqOy,Kalungu HC III,wKczE4oVqOy,CnmHqTmz8it
Kambuga Hospital ,Hospital,Kanungu Hub   ,Kanungu,South Western,\N,Kambuga Hospital,CCW0LpJoTnO,GX9ocyvV2NO
Kamuda H/C III,H/C III,Soroti Hub   ,Soroti,North East,\N,Kamuda HC III,a4070sNyyVO,uJWzWoh60ZP
Kamuganguzi H/C III,H/C III,Kabale Hub   ,Kabale,South Western,c9Fq5DlB3y5,Kamuganguzi HC III,c9Fq5DlB3y5,HWWbMGU5yGV
Kamuge H/C III,H/C III,Pallisa Hub   ,Pallisa,Mid Eastern,\N,Kamuge HC III,muwJAkGOjj5,g3N0xHvcPsX
Kamukira H/C IV ,H/C IV,Kabale Hub   ,Kabale,South Western,\N,Kamukira HC IV,aVKmbSeBF1N,iSQwWX70L4O
Kamuli Mission Hospital,Hospital,Kamuli Hub   ,Kamuli,East Central,Zix3B1axH9x,Kamuli Mission Hospital,Zix3B1axH9x,rMT3tbl0dGa
Kamwezi   H/C IV ,H/C IV,Kabale Hub   ,Rukiga,South Western,\N,Kamwezi HC IV,Yy2ZLOpEx2S,uXjVMneD0dL
Kanawat H/C III,H/C III,Kotido Hub  ,Kotido,North East,\N,Kanawat HC III,aCfdOhOH9ni,PT2ZeNnKB9H
Kanara H/C II,H/C II,Rukunyu Hub    ,Kamwenge,Mid Western,\N,Kanara HC II,btYQmvsgNkg,Mqw47d4PkYu
Kangai H/C III,H/C III,Dokolo Hub  ,Dokolo,Mid Northern,aP04v4fQbSd,Kangai HC III,aP04v4fQbSd,AjYVLFIhzOQ
Kanginima Hospital,Hospital,Pallisa Hub   ,Pallisa,Mid Eastern,\N,Kanginima Hospital,i6w95d8uOH0,AFfT3Cg3u2P
Kangulumira H/C IV,H/C IV,Kayunga Hub  ,Kayunga,Central 2,RSFwMQwN99b,Kangulumira HC IV,RSFwMQwN99b,aTeTsO0pgYW
Kanoni H/C III (Kiruhura),H/C III,Rushere Hub   ,Kazo,South Western,Mr238FVwJOm,Kiruhura Kanoni HC III GOVT,Mr238FVwJOm,Qg15v1Vhpfc
Kanungu H/C IV,H/C IV,Kanungu Hub   ,Kanungu,South Western,EU9ZacQmfpW,Kanungu HC IV,EU9ZacQmfpW,rjk6Vsa2JK9
Kapchorwa Hospital,Hospital,Kapchorwa Hub   ,Kapchorwa,Mid Eastern,\N,Kapchorwa Hospital,zpmUD2YzPnn,RV3SBEI650b
Kapeeka H/C III,H/C III,Ngoma Hub   ,Nakaseke,Central 2,jloriHnudvr,St. Jerome Cove Kapeeka HC III,jloriHnudvr,OIskDHAJ7ix
Kapir H/C III,H/C III,Ngora Hub    ,Ngora,North East,\N,Kapir HC III,pGfuON6s6cD,gys3OJ1x1r7
Kaproron H/C IV,H/C IV,Kapchorwa Hub   ,Kween,Mid Eastern,\N,Kaproron HC IV,IyYvTavDSou,GClWH9khhGu
Karenga H/C IV,H/C IV,Kaabong Hub   ,Kaabong ,North East,RwUs7iX5S49,Karenga HC IV,RwUs7iX5S49,smtcjyDBqx0
Karugutu H/C IV,H/C IV,Bundibugyo Hub   ,Ntoroko,Mid Western,\N,Karugutu HC IV,A6P3WOAXDru,Nmt3vEsUnys
Karungu H/C III (Buhweju),H/C III,Bushenyi Hub   ,Buhweju,South Western,Q2xPLKiCPXu,Karungu HC III,Q2xPLKiCPXu,p9IYogb1XYD
Kasanga PHC III,H/C III,Kagando Hub   ,Kasese,Mid Western,DUIjxnnEApZ,Kasanga Phc HC III,DUIjxnnEApZ,Qgv2qSrdu5E
Kasangati H/C IV,H/C IV,Wakiso Hub  ,Wakiso,Central 1,a4SedC8Ix2O,Kasangati HC IV,a4SedC8Ix2O,sU65fsvwnB2
Kasasa H/C III,H/C III,Rakai Hub   ,Kyotera,Central 1,agw4uqikZnP,Kasasa HC III,agw4uqikZnP,cIdc1YZnfuy
Kaserem H/C III,H/C III,Kapchorwa Hub   ,Kapchorwa,Mid Eastern,\N,Kaserem HC III,S8LH3k8Bkir,tEJsbcCxglj
Kashumba H/C III,H/C III,Rwekubo Hub   ,Isingiro,South Western,\N,Kashumba HC III,ak2gK9gfyQS,TOfF2urzMjF
Kassanda H/C IV,H/C IV,kassanda Hub   ,Mubende,Central 2,vSPwh0RCueD,Kassanda HC IV,vSPwh0RCueD,Tls0HWzCDH6
Kasunganyanja H/C III,H/C III,FortPortal Hub  ,Bunyangabu,Mid Western,\N,Kasunganyanja HC III,cvhndG0NLZe,QN6ou4F7TBj
Kasusu H/C III,H/C III,FortPortal Hub  ,Kabarole,Mid Western,\N,Kasusu HC III,aO5NU9dvqqT,zho96MMisQM
Kaswa H/C III,H/C III,FortPortal Hub  ,Kabarole,Mid Western,\N,Kaswa HC III,aQTBvjHZAw9,QzutLZvTd4e
Katabi Military Hospital,Hospital,Entebbe Hub   ,Wakiso,Central 1,FMhE2V9s2bo,Katabi Military HC III,FMhE2V9s2bo,oT6CIa2SqR5
Kataraka H/C IV,H/C IV,FortPortal Hub  ,Kabarole,Mid Western,\N,Kataraka HC IV,aVcdIF2qcWc,pumDUosjZ64
Katerera H/C III,H/C III,Rugazi Hub   ,Rubirizi,South Western,nLcJPspov8c,Katerera HC III,nLcJPspov8c,PK5Qsr4NYR4
Kathile H/C III,H/C III,Kaabong Hub   ,Kaabong ,North East,\N,Kathile HC III,JWg30TuiiEV,ogy5zrcGXXJ
Katimba H/C III,H/C III,Ssembabule Hub   ,Ssembabule,Central 1,sTlap0cwcNo,Katimba HC III,sTlap0cwcNo,qtITH75Xcjv
Katooke H/C III,H/C III,Kyenjojo Hub   ,Kyenjojo,Mid Western,\N,Katooke HC III,ounetWmXUdw,x9NjfLtvG5X
Katwe H/C III (Kasese),H/C III,Kagando Hub   ,Kasese,Mid Western,n5XFXJQhdtb,Kasese Katwe HC III GOVT,n5XFXJQhdtb,wmwrvUQtAY8
Kawempe Home Care,Special Clinic,Kampala Hub,Kampala,Kampala,QgAL2KJE7g4,Kawempe Home Care Initiative CLINIC,QgAL2KJE7g4,SNG1avYiXZr
Kawolo Hospital,Hospital,Kawolo Hub   ,Buikwe ,Central 2,nKKX3gA72zS,Kawolo Hospital,nKKX3gA72zS,nNsP3i97BWE
Kayunga Hospital,Hospital,Kayunga Hub  ,Kayunga,Central 2,sFIS2oxchec,Kayunga Hospital,sFIS2oxchec,LjyOuMihzwU
Kazo H/C IV,H/C IV,Rushere Hub   ,Kazo,South Western,stVRVnZtZVM,Kazo HC IV,stVRVnZtZVM,wD6h9sP7qLR
Kebisoni H/C IV,H/C IV,Nyakibale Hub   ,Rukungiri,South Western,\N,Kebisoni HC IV,Th69WKFWepR,S7x4R9YXtVU
Kibiito H/C IV ,H/C IV,FortPortal Hub  ,Bunyangabu,Mid Western,\N,Kibiito HC IV,egswmCc8ssL,opbow6Sh9UV
Kiboga Hospital,Hospital,Kiboga Hub   ,Kiboga,Central 2,acJji9Ruj5T,Kiboga Hospital,acJji9Ruj5T,EtxxZwzi55D
Kibuku H/C IV,H/C IV,Pallisa Hub   ,Kibuku,Mid Eastern,\N,Kibuku HC IV,kEAAnF6s9TJ,CfaVQtgZ0Gk
Kicheche H/C III,H/C III,Rukunyu Hub    ,Kamwenge,Mid Western,\N,Kicheche HC III,PjSakZGVHq5,UqUu30ZBOrJ
Kicwamba H/C III (Kabarole),H/C III,FortPortal Hub  ,Kabarole,Mid Western,\N,Kicwamba HC III (Kabarole),GlGBqdv4DH9,cIOsholjYkh
Kidera H/C IV,H/C IV,Kidera Hub   ,Buyende ,East Central,KzxdCSnvGwD,Kidera HC IV,KzxdCSnvGwD,fKJPWU3Kt3q
Kidongole H/C III,H/C III,Atutur Hub  ,Bukedea,North East,\N,Kidongole HC III,L9isDZQcpuo,RWIQcXjg8NH
Kiganda H/C IV,H/C IV,kassanda Hub   ,Mubende,Central 2,dK6URDbvHgL,Kiganda HC IV,dK6URDbvHgL,LBgin7B7fsZ
Kigandalo H/C IV,H/C IV,Kigandalo hub   ,Mayuge,East Central,TOwFMUTd1XN,Kigandalo HC IV,TOwFMUTd1XN,Yi0ZyAPtCqI
Kigarama H/C III,H/C III,kitagata Hub   ,Sheema,South Western,oV7osEI51r6,Kigarama HC III,oV7osEI51r6,CiwxWYWG9ii
Kigorobya H/C IV,H/C IV,Hoima Hub   ,Hoima,Mid Western,GUAwRRqngNN,Kigorobya HC IV,GUAwRRqngNN,LM5a84MZ6Fi
Kihiihi H/C IV,H/C IV,Kanungu Hub   ,Kanungu,South Western,WiDK75EptX5,Kihiihi HC IV,WiDK75EptX5,xKAuL0jv3ZX
Kijura H/C III,H/C III,FortPortal Hub  ,Kabarole,Mid Western,\N,Kijura HC III,VhofFpidxI7,PpkUtSlG0q0
Kikagate H/C III,H/C III,Rwekubo Hub   ,Isingiro,South Western,\N,Kikagate HC III,xK1lURyBlFC,gR9BgVTkyZC
Kiko H/C III,H/C III,FortPortal Hub  ,Kabarole,Mid Western,\N,Kiko HC III,nz0c3cd4fzo,hCMS1A47xIH
Kikuube H/C IV,H/C IV,Hoima Hub   ,Kikuube,Mid Western,ZyIU7Z6NxVX,Kikuube HC IV,ZyIU7Z6NxVX,aaVOrPJiD5c
Kikyenkye H/C III,H/C III,Ruhoko Hub   ,Ibanda,South Western,j6kmC0qBLuy,Kikyenkye HC III,j6kmC0qBLuy,Sc8LvdSZ4D3
Kikyo H/C IV ,H/C IV,Bundibugyo Hub   ,Bundibugyo,Mid Western,\N,Kikyo HC IV,m6EphK59CJo,kEDyXEAXnha
Kilak H/C III,H/C III,Pajule Hub     ,Pader,Mid Northern,e2i5c23d8cq,Kilak HC III,e2i5c23d8cq,wcOAcO6dEUn
Kinoni H/C III (Lwengo),H/C III,Lwengo Hub    ,Lwengo,Central 1,l5Zt1UulNMm,Kinoni Welfare Medical Centre CLINIC,#N/A,DGedSMKJ64N
Kinoni H/C IV (Mbarara),H/C IV,Mbarara Hub   ,Mbarara,South Western,ApxHwTWTekP,Kinoni HC IV,ApxHwTWTekP,wUZTh4axVHb
