facility,level,hub,district,region,dhis2_uid,dhis2_name,DHIS2_UID,HIBRID_UID
Mukondo H/C II,H/C II,Kyegegwa Hub   ,Kyegegwa,Mid Western,\N,Mukondo HC II,NmZiWvRQ5nG,KgRm4hf4jBG
Buhugu H/C III,H/C III,Budadiri Hub     ,Sironko,Mid Eastern,\N,Buhugu HC III,UX5j31I7jpP,JkHjTVjaGOB
Ofua MSF H/C III,H/C III,Rhino Camp Hub  ,Arua,West Nile,BSrrPPLiBZo,Ofua HC III,BSrrPPLiBZo,euZe0fGwwMp
Zombo H/C III,H/C III,Warr Hub  ,Zombo,West Nile,tuYjF238GTf,Zombo HC III,#N/A,gINtrfWfCQF
Mabale(Kyenjojo) H/C II,H/C II,Kyenjojo Hub   ,Kyenjojo,Mid Western,ajogQebjO0O,Mabale Tea Factory HC II,ajogQebjO0O,YPO8NcoL4Vr
Sebigoro H/C III,H/C III,Hoima Hub   ,Hoima,Mid Western,Xa2GHu3YN8X,Sebigoro HC III,Xa2GHu3YN8X,nGruXeaJiCd
Tonya H/C II,H/C II,Hoima Hub   ,Hoima,Mid Western,\N,Tonya HC II,UWPodERSmLS,lS9Ju2DMvVL
Kigangazi H/C II,H/C II,Butenga Hub   ,Bukomansimbi,Central 1,dRVlZtrIfcM,Kingangazzi HC II,dRVlZtrIfcM,z7ZiBy4EmYP
Ogonyo H/C III,H/C III,Pajule Hub     ,Pader,Mid Northern,afJ9NgYTYDa,Ogonyo HC III,afJ9NgYTYDa,l7zJ9hsbabA
Latanya H/C III,H/C III,Pajule Hub     ,Pader,Mid Northern,\N,Latanya HC III,kBBhLlLFodJ,JMp9owYRPrn
Rukungiri Police H/C III,H/C III,Nyakibale Hub   ,Rukungiri,South Western,krX5G0oMDPX,Rukungiri Police HC II,krX5G0oMDPX,czVWd21TNeg
Ewanga H/C III,H/C III,Arua Hub   ,Arua,West Nile,ppjhr0L8daE,Ewanga HC III,#N/A,kHhJTM9HA1N
Bugolobi Medical Centre,Medical Centre,Kampala Hub,Kampala,Kampala,bnKRmW2sm3g,Bugolobi Medical Centre HC II,#N/A,QROEBSvktTp
Kangulumira Intergrated,Health Care Center,Kayunga Hub  ,Kayunga,Central 2,jAkXsSQHYAZ,Kangulumira I.H.P HC II,jAkXsSQHYAZ,y4bKRzPPe9H
Magamaga Army H/C III (Mayuge),H/C III,Kigandalo hub   ,Mayuge,East Central,a1C0sK4I6RS,Magamaga Barracks HC II,a1C0sK4I6RS,joSo9jbhFXn
Kabasa Memorial Hospital,Hospital,Busolwe Hub   ,Butaleja,Mid Eastern,Xm71SWWTqfb,Kabasa Memorial HOSPITAL,Xm71SWWTqfb,wzul7dN5r2t
Kateete H/C II,H/C II,Mukono Hub ,Mukono ,Central 2,\N,Kateete HC II,KwFneGvRFii,haDieEVinNv
